Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,
"C10, C11, C12, C13, C2, C3, C4, C6, C7, C8, C9",0603,11,0.1uF,
C5,0603,1,22uF,
"D1, D2",0603,2,LED,
"J1, J2, J3",PinHeader_1x10_P2.54mm_Vertical,3,Conn_01x10_Pin,
J10,PinHeader_1x02_P1.27mm_Vertical,1,BAT,
J11,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Pin,
"R1, R2, R7",0603,3,10K,
"SW2, SW3",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,XCVR_ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U,
"U2, U4",SOT-23-5,2,MIC5219-3.3YM5,
U3,nRF24L01_Breakout,1,NRF24L01_Breakout,
